,id,cox,molecularFormula,Zodiac_Score
218,38984_1907_EMPv2_SIRIUS_50460,-0.5384615384615384,C26H40O13,0.999497487437186
219,35886_1907_EMPv2_SIRIUS_37857,-0.8947368421052632,C38H58N2O9,0.7165829145728644
220,41641_1907_EMPv2_SIRIUS_36542,-0.8275862068965517,C29H47N5O3S,0.10251256281407037
221,37997_1907_EMPv2_SIRIUS_46465,0.07692307692307693,C26H24Br2N4O6,0.9989949748743716
222,10405_1907_EMPv2_SIRIUS_51737,-1.037037037037037,C27H37O7P,0.9959798994974874
223,44359_1907_EMPv2_SIRIUS_42342,-0.6428571428571429,C28H49N7O5,0.08140703517587941
224,33023_1907_EMPv2_SIRIUS_26955,0.8,C10H15N4O8P,1.0
225,45336_1907_EMPv2_SIRIUS_48854,-1.3333333333333333,C24H50O9,0.9989949748743716
226,33637_1907_EMPv2_SIRIUS_39504,-1.0256410256410255,C39H62N2O8,0.1306532663316583
227,48460_1907_EMPv2_SIRIUS_34487,-0.21428571428571427,C28H42N10O3,0.043718592964824124
228,45310_1907_EMPv2_SIRIUS_49881,-1.0,C36H66N6O6,0.371356783919598
229,34301_1907_EMPv2_SIRIUS_10617,-1.0,C32H58N6O4,1.0
230,48676_1907_EMPv2_SIRIUS_39068,0.75,C16H21N5O9,0.02964824120603015
231,26140_1907_EMPv2_SIRIUS_19606,-1.1428571428571428,C21H32Cl2O3,0.9030150753768844
232,51617_1907_EMPv2_SIRIUS_40544,-0.7333333333333333,C30H52N4O9,0.05427135678391961
233,33002_1907_EMPv2_SIRIUS_54250,-1.5,C32H64O8,0.9964824120603016
234,25921_1907_EMPv2_SIRIUS_54566,-0.20689655172413793,C29H50N10O7,0.010050251256281407
235,5414_1907_EMPv2_SIRIUS_33666,0.47058823529411764,C17H27N9O4,0.04673366834170855
236,5076_1907_EMPv2_SIRIUS_41022,0.0,C16H21N4O7P,0.026633165829145728
237,43279_1907_EMPv2_SIRIUS_55736,-1.3333333333333333,C12H24NO4PS,1.0
238,25185_1907_EMPv2_SIRIUS_26499,-1.36,C25H50O8,1.0
